tid,mynt,side,mengde,pris,belop_usdt,gebyr_usdt,grunn
2026-09-24T00:29:54Z,TIA-USDT,KJØP,14.2325255367,0.4603,6.5578,0.0066,signal +0.34
2026-09-24T00:30:00Z,PENDLE-USDT,KJØP,2.7302342125,2.4701,6.7507,0.0068,signal +0.35
2026-09-24T00:30:01Z,CFG-USDT,KJØP,51.8127389902,0.1424,7.3855,0.0074,signal +0.38
2026-09-24T08:25:09Z,LSK-USDT,SELG,34.0226371573,0.4215,14.3405,0.0143,take-profit +20.6%
2026-09-24T09:24:24Z,AVAX-USDT,SELG,0.9613700453,10.098,9.7079,0.0097,stop-loss -8.6%
2026-09-24T09:24:26Z,SUI-USDT,SELG,7.8430297537,0.9457,7.4172,0.0074,stop-loss -8.2%
2026-09-24T09:24:38Z,VVV-USDT,SELG,0.2574508929,29.104,7.4929,0.0075,stop-loss -8.5%
2026-09-24T11:23:02Z,G-USDT,SELG,1061.4377725639,0.00555,5.891,0.0059,stop-loss -8.1%
2026-09-24T12:28:16Z,ONDO-USDT,KJØP,13.587034943,0.45579,6.199,0.0062,signal +0.32
2026-09-24T12:28:19Z,B2-USDT,KJØP,15.2046517662,0.4992,7.5978,0.0076,signal +0.39
2026-09-24T12:28:23Z,LSK-USDT,KJØP,31.77537155,0.396,12.5956,0.0126,signal +0.65
